product_id;Product Type:;Producer:;Collections:;Age Group:;Ground type:;Class:;Upper:;Type of binding:;Boots with sock:;Collection:;Color:;Plays in these boots:;Manufacturer's Data:;Team:
424;Football boots;adidas;adidas Predator;Men;Soft Ground (SG/SG-PRO);Professional;Synthetic;Shoelace;No;adidas Own Your Football;Black, Pink;Jude Bellingham;adidas AG, Adi-Dassler-Strasse 1, 91074 Herzogenaurach, DE;
425;Football boots;adidas;adidas Copa;Men;Soft Ground (SG/SG-PRO);Professional;Leather;Shoelace;No;adidas Own Your Football;Black;Paulo Dybala;adidas AG, Adi-Dassler-Strasse 1, 91074 Herzogenaurach, DE;
426;Football boots;adidas;adidas Predator;Men;Firm Ground (FG);Professional;Synthetic;Shoelace;No;adidas Pearlized;White;Jude Bellingham;adidas AG, Adi-Dassler-Strasse 1, 91074 Herzogenaurach, DE;
427;Football boots;Nike;Nike Phantom GX;Men;Soft Ground (SG/SG-PRO);Professional;Synthetic;Shoelace;Yes;Nike Blast;White, sky blue;;NIKE Retail B.V., PO BOX 6453, Colosseum 1, 1213 0, NL;
428;Football boots;adidas;adidas Predator;Men;Soft Ground (SG/SG-PRO);Professional;Synthetic;Shoelace;No;adidas Nightstrike;Black;Jude Bellingham;adidas AG, Adi-Dassler-Strasse 1, 91074 Herzogenaurach, DE;
429;Football boots;adidas;adidas Copa;Men;Firm Ground (FG);Professional;Leather;Shoelace;No;;Black;;adidas AG, Adi-Dassler-Strasse 1, 91074 Herzogenaurach, DE;
430;Football boots;Puma;Puma King;Men;Firm Ground (FG), Artificial Grass (AG/TF);Professional;Synthetic;Shoelace;No;Puma Eclipse;Black;;Puma SE, Puma Way 1, 91074 Herzogenaurach, DE;
431;Football boots;Puma;Puma King;Men;Soft Ground (SG/SG-PRO);Professional;Synthetic;Shoelace;No;Puma King Supercharge;White;;Puma SE, Puma Way 1, 91074 Herzogenaurach, DE;
432;Football boots;Puma;Puma King;Men;Firm Ground (FG), Artificial Grass (AG/TF);Professional;Synthetic;Shoelace;No;Puma King Supercharge;White;;Puma SE, Puma Way 1, 91074 Herzogenaurach, DE;
433;Football boots;Puma;Puma Future;Men;Soft Ground (SG/SG-PRO);Professional;Synthetic;Shoelace;No;Puma Supercharge;Blue;;Puma SE, Puma Way 1, 91074 Herzogenaurach, DE;
434;Football boots;Puma;Puma Ultra;Men;Soft Ground (SG/SG-PRO);Professional;Synthetic;Shoelace;No;Puma Supercharge;Orange;;Puma SE, Puma Way 1, 91074 Herzogenaurach, DE;
435;Football boots;Puma;Puma Ultra;Men;Indoor (IC/IN);Professional;Synthetic;Shoelace;No;Puma Supercharge;Orange;;Puma SE, Puma Way 1, 91074 Herzogenaurach, DE;
436;Football boots;New Balance;New Balance Tekela;Men;Firm Ground (FG);Professional;Synthetic;Lack;Yes;New Balance Dizzy Heights;Orange;;New Balance Athletics, Inc., Brighton Landing, 100 Guest Street, Boston, MA 02135-2088, US;
437;Football boots;New Balance;New Balance Tekela;Men;Soft Ground (SG/SG-PRO);Professional;Synthetic;Lack;Yes;New Balance Dizzy Heights;Orange;;New Balance Athletics, Inc., Brighton Landing, 100 Guest Street, Boston, MA 02135-2088, US;
438;Football boots;New Balance;New Balance Furon;Men;Firm Ground (FG);Professional;Synthetic;;No;New Balance Dizzy Heights;Orange;Raheem Sterling;New Balance Athletics, Inc., Brighton Landing, 100 Guest Street, Boston, MA 02135-2088, US;
439;Football boots;New Balance;New Balance Furon;Men;Soft Ground (SG/SG-PRO);Professional;Synthetic;Shoelace;No;New Balance Dizzy Heights;Orange;Raheem Sterling;New Balance Athletics, Inc., Brighton Landing, 100 Guest Street, Boston, MA 02135-2088, US;
440;Football boots;adidas;adidas Copa;Men;Soft Ground (SG/SG-PRO);Professional;Leather;Shoelace;No;;Black;Paulo Dybala;adidas AG, Adi-Dassler-Strasse 1, 91074 Herzogenaurach, DE;
441;Football boots;Mizuno;Mizuno Morelia Neo;Men;Indoor (IC/IN);Professional;Synthetic;Shoelace;No;;sky blue;;Mizuno Co., Mizuno House, 612 Reading Road, Winnersh, Wokingham, Berkshire RG41 5HE, UK;
442;Football boots;adidas;adidas Copa;Men;Soft Ground (SG/SG-PRO);Professional;Leather;Shoelace;No;adidas Game Data Pack;Yellow;;adidas AG, Adi-Dassler-Strasse 1, 91074 Herzogenaurach, DE;
443;Football boots;New Balance;New Balance 442;Men;Firm Ground (FG);Professional;Leather;Shoelace;No;;Black;;New Balance Athletics, Inc., Brighton Landing, 100 Guest Street, Boston, MA 02135-2088, US;
444;Football boots;Nike;Nike Phantom GT;Men;Firm Ground (FG);Professional;Synthetic;Shoelace;Yes;Nike Blueprint;Orange;;NIKE Retail B.V., PO BOX 6453, Colosseum 1, 1213 0, NL;
